Style2,Width2,Size,Qty On Hand,Expect Date,Qty On PO for Size,Expt PO PO Num
00646105,,M,100,,0,
00646105,,SM,100,,0,
00646105,,XL,100,,0,
00646105,,XS,100,,0,
00646220,,L,100,,0,
00646220,,M,100,,0,
00646220,,SM,100,,0,
00646220,,XL,100,,0,
00646220,,XS,100,,0,
00646414,,L,100,,0,
00646414,,M,100,,0,
00646414,,SM,100,,0,
00646414,,XL,100,,0,
00646414,,XS,100,,0,
00646507,,L,100,,0,
00646507,,M,100,,0,
00646507,,SM,100,,0,
00646507,,XL,100,,0,
00646507,,XS,100,,0,
006513C,,L,100,,0,
006513C,,M,100,,0,
006513C,,SM,100,,0,
006513C,,XL,100,,0,
006513C,,XS,100,,0,
006622C,,L,100,,0,
006622C,,M,100,,0,
006622C,,SM,100,,0,
006622C,,XL,100,,0,
006622C,,XS,100,,0,
00805C,,L,100,,0,
00805C,,M,100,,0,
00805C,,SM,100,,0,
00805C,,XL,100,,0,
00805C,,XS,100,,0,
00806C,,L,100,,0,
00806C,,SM,100,,0,
00806C,,XL,100,,0,
00806C,,XS,100,,0,
00807C,,L,100,,0,
00807C,,M,100,,0,
00807C,,SM,100,,0,
00807C,,XL,100,,0,
00807C,,XS,100,,0,
00808C,,L,100,,0,
00808C,,M,100,,0,
00808C,,SM,100,,0,
00808C,,XL,100,,0,
00808C,,XS,100,,0,
00942C,M,280,100,,0,
00942C,M,290,100,,0,
00942C,M,300,100,,0,
00942C,M,310,100,,0,
00942C,M,320,100,,0,
00942C,M,330,100,,0,
00942C,M,340,100,,0,
00942C,M,360,100,,0,
00942C,M,380,100,,0,
010002C,,L,100,,0,
010002C,,M,100,,0,
010002C,,SM,100,,0,
010002C,,XL,100,,0,
010002C,,XS,100,,0,
010113C,,L,100,,0,
010113C,,M,100,,0,
010113C,,SM,100,,0,
010113C,,XL,100,,0,
010113C,,XS,100,,0,
010540C,,L,100,,0,
010540C,,M,100,,0,
010540C,,SM,100,,0,
010540C,,XL,100,,0,
010540C,,XS,100,,0,
010615C,,L,100,,0,
010615C,,M,100,,0,
010615C,,SM,100,,0,
010615C,,XL,100,,0,
010615C,,XS,100,,0,
010980C,,L,100,,0,
010980C,,M,100,,0,
010980C,,SM,100,,0,
010980C,,XL,100,,0,
010980C,,XS,100,,0,
011002C,,L,100,,0,
011002C,,M,100,,0,
011002C,,SM,100,,0,
011002C,,XL,100,,0,
011002C,,XS,100,,0,
011113C,,L,100,,0,
011113C,,M,100,,0,
011113C,,SM,100,,0,
011113C,,XL,100,,0,
011113C,,XS,100,,0,
011448C,,L,100,,0,
011448C,,M,100,,0,
011448C,,SM,100,,0,
011448C,,XL,100,,0,
012051C,,L,100,,0,
012051C,,M,100,,0,
012051C,,SM,100,,0,
012051C,,XL,100,,0,
012051C,,XS,100,,0,
012100C,,L,100,,0,
012100C,,M,100,,0,
012100C,,SM,100,,0,
012100C,,XL,100,,0,
012100C,,XS,100,,0,
012626C,,L,100,,0,
012626C,,M,100,,0,
012626C,,SM,100,,0,
012626C,,XL,100,,0,
012626C,,XS,100,,0,
012966C,,L,100,,0,
012966C,,M,100,,0,
012966C,,SM,100,,0,
012966C,,XL,100,,0,
012966C,,XS,100,,0,
013424C,,L,100,,0,
013424C,,M,100,,0,
013424C,,SM,100,,0,
013424C,,XL,100,,0,
01395001,,L,100,,0,
01395001,,M,100,,0,
01395001,,SM,100,,0,
01395001,,XL,100,,0,
01395001,,XS,100,,0,
01395029,,L,100,,0,
01395029,,M,100,,0,
01395029,,SM,100,,0,
01395029,,XL,100,,0,
01395029,,XS,100,,0,
01395100,,L,100,,0,
01395100,,M,100,,0,
01395100,,SM,100,,0,
01395100,,XL,100,,0,
01395100,,XS,100,,0,
01395507,,L,100,,0,
01395507,,M,100,,0,
01395507,,SM,100,,0,
01395507,,XL,100,,0,
01395507,,XS,100,,0,
01395829,,L,100,,0,
01395829,,M,100,,0,
01395829,,SM,100,,0,
01395829,,XL,100,,0,
01395829,,XS,100,,0,
014002C,,L,100,,0,
014002C,,M,100,,0,
014002C,,SM,100,,0,
014002C,,XL,100,,0,
014002C,,XS,100,,0,
01401352,,L,100,,0,
01401352,,S,100,,0,
01401414,,L,100,,0,
01401414,,S,100,,0,
01405001,,L,100,,0,
01405001,,M,100,,0,
01405001,,SM,100,,0,
01405001,,XL,100,,0,
01405001,,XS,100,,0,
01405035,,L,100,,0,
01405035,,M,100,,0,
01405035,,SM,100,,0,
01405035,,XL,100,,0,
01405035,,XS,100,,0,
014100C,,L,100,,0,
014100C,,M,100,,0,
014100C,,SM,100,,0,
014100C,,XL,100,,0,
014100C,,XS,100,,0,
01431030,,L,100,,0,
01431030,,M,100,,0,
01431030,,SM,100,,0,
01431030,,XL,100,,0,
01431030,,XS,100,,0,
01437001,,L,100,,0,
01437001,,M,100,,0,
01437001,,SM,100,,0,
01437001,,XL,100,,0,
01437001,,XS,100,,0,
014456C,,L,100,,0,
014456C,,M,100,,0,
014456C,,SM,100,,0,
014456C,,XL,100,,0,
014516C,,L,100,,0,
014516C,,M,100,,0,
014516C,,SM,100,,0,
014516C,,XL,100,,0,
014516C,,XS,100,,0,
014722C,,L,100,,0,
014722C,,M,100,,0,
014722C,,SM,100,,0,
014722C,,XL,100,,0,
014722C,,XS,100,,0,
015002C,,L,100,,0,
015002C,,M,100,,0,
015002C,,SM,100,,0,
015002C,,XL,100,,0,
015002C,,XS,100,,0,
01501312,,L,100,,0,
01501312,,M,100,,0,
01501312,,SM,100,,0,
01501312,,XL,100,,0,
01501312,,XS,100,,0,
015121C,,L,100,,0,
015121C,,M,100,,0,
015121C,,SM,100,,0,
015121C,,XL,100,,0,
015121C,,XS,100,,0,
01516352,,L,100,,0,
01516352,,M,100,,0,
01516352,,SM,100,,0,
01516352,,XL,100,,0,
01516352,,XS,100,,0,
01516436,,L,100,,0,
01516436,,M,100,,0,
01516436,,SM,100,,0,
01516436,,XL,100,,0,
01516436,,XS,100,,0,
01517505,,L,100,,0,
01517505,,M,100,,0,
01517505,,SM,100,,0,
01517505,,XL,100,,0,
01517505,,XS,100,,0,
01517627,,L,100,,0,
01517627,,M,100,,0,
01517627,,SM,100,,0,
01517627,,XL,100,,0,
01517627,,XS,100,,0,
01520002,,L,100,,0,
01520002,,M,100,,0,
01520002,,SM,100,,0,
01520002,,XL,100,,0,
01520002,,XS,100,,0,
01521030,,L,100,,0,
01521030,,M,100,,0,
01521030,,SM,100,,0,
01521030,,XL,100,,0,
01521030,,XS,100,,0,
01523100,,L,100,,0,
01523100,,M,100,,0,
01523100,,SM,100,,0,
01523100,,XL,100,,0,
01523100,,XS,100,,0,
01524002,,L,100,,0,
01524002,,M,100,,0,
01524002,,SM,100,,0,
01524002,,XL,100,,0,
01524002,,XS,100,,0,
01525035,,L,100,,0,
01525035,,M,100,,0,
01525035,,SM,100,,0,
01525035,,XL,100,,0,
01525035,,XS,100,,0,
015354C,,L,100,,0,
015354C,,M,100,,0,
015354C,,SM,100,,0,
015354C,,XL,100,2013-04-26,4,21389
015354C,,XS,100,,0,
01580035,,L,100,,0,
01580035,,M,100,,0,
01580035,,SM,100,,0,
01580035,,XL,100,,0,
01580035,,XS,100,,0,
01581352,,L,100,,0,
01581352,,M,100,,0,
01581352,,SM,100,,0,
01581352,,XL,100,,0,
01581352,,XS,100,,0,
01581625,,L,100,,0,
01581625,,M,100,,0,
01581625,,SM,100,,0,
01581625,,XL,100,,0,
01581625,,XS,100,,0,
01590001,,L,100,2013-04-26,14,21386
01590001,,M,100,2013-04-26,17,21386
01590001,,SM,100,,0,
01590001,,XL,100,2013-04-26,7,21386
01590001,,XS,100,,0,
01590035,,L,100,2013-04-26,12,21388
01590035,,M,100,,0,
01590035,,SM,100,,0,
01590035,,XL,100,2013-04-26,6,21388
01590035,,XS,100,,0,
01590100,,L,100,2013-04-26,12,21387
01590100,,M,100,2013-04-26,13,21387
01590100,,SM,100,,0,
01590100,,XL,100,2013-04-26,6,21387
01590100,,XS,100,,0,
01590354,,L,100,,0,
01590354,,M,100,,0,
01590354,,SM,100,,0,
01590354,,XL,100,,0,
01590354,,XS,100,,0,
01590647,,L,100,,0,
01590647,,M,100,,0,
01590647,,SM,100,,0,
01590647,,XL,100,,0,
01590647,,XS,100,,0,
015950C,,L,100,,0,
015950C,,M,100,,0,
015950C,,SM,100,,0,
015950C,,XL,100,,0,
015950C,,XS,100,,0,
016001C,,L,100,,0,
016001C,,M,100,,0,
016001C,,SM,100,,0,
016001C,,XL,100,,0,
016001C,,XS,100,,0,
016040C,,L,100,,0,
016040C,,M,100,,0,
016040C,,SM,100,,0,
016040C,,XL,100,,0,
01607001,,L,100,,0,
01607001,,M,100,,0,
01607001,,SM,100,,0,
01607001,,XL,100,,0,
01607001,,XS,100,,0,
01611C,,L,100,,0,
01611C,,M,100,,0,
01611C,,SM,100,,0,
01611C,,XL,100,,0,
01611C,,XS,100,,0,
01624001,,L,100,,0,
01624001,,M,100,,0,
01624001,,SM,100,,0,
01624001,,XL,100,,0,
01624001,,XS,100,,0,
01634002,,L,100,,0,
01634002,,M,100,,0,
01634002,,SM,100,,0,
01634002,,XL,100,,0,
01634002,,XS,100,,0,
01685743,,L,100,,0,
01685743,,M,100,,0,
01685743,,SM,100,,0,
01685743,,XL,100,,0,
01685743,,XS,100,,0,
01691002,,L,100,,0,
01691002,,M,100,,0,
01691002,,SM,100,,0,
01691002,,XL,100,,0,
01691002,,XS,100,,0,
01693986,,L,100,,0,
01693986,,M,100,,0,
01693986,,SM,100,,0,
01693986,,XL,100,,0,
01693986,,XS,100,,0,
01712001,,L,100,,0,
01712001,,M,100,,0,
01712001,,SM,100,,0,
01712001,,XL,100,,0,
01712001,,XS,100,,0,
01728001,,L,100,,0,
01728001,,M,100,,0,
01728001,,SM,100,,0,
01728001,,XL,100,,0,
01728001,,XS,100,,0,
01728064,,L,100,,0,
01728064,,M,100,,0,
01728064,,SM,100,,0,
01728064,,XL,100,,0,
01728064,,XS,100,,0,
01728306,,L,100,,0,
01728306,,M,100,,0,
01728306,,SM,100,,0,
01728306,,XL,100,,0,
01728306,,XS,100,,0,
01728400,,L,100,,0,
01728400,,M,100,,0,
01728400,,SM,100,,0,
01728400,,XL,100,,0,
01728400,,XS,100,,0,
01730001,,L,100,,0,
01730001,,M,100,,0,
01730001,,SM,100,,0,
01730001,,XL,100,,0,
01730001,,XS,100,,0,
01730035,,L,100,,0,
01730035,,M,100,,0,
01730035,,SM,100,,0,
01730035,,XL,100,,0,
01730035,,XS,100,,0,
018001C,,L,100,,0,
018001C,,M,100,,0,
018001C,,SM,100,,0,
018001C,,XL,100,,0,
018030C,,L,100,,0,
018030C,,M,100,,0,
018030C,,SM,100,,0,
018030C,,XL,100,,0,
018030C,,XS,100,,0,
018040C,,L,100,,0,
018040C,,M,100,,0,
018040C,,SM,100,,0,
018040C,,XL,100,,0,
018051C,,L,100,,0,
018051C,,M,100,,0,
018051C,,SM,100,,0,
018051C,,XL,100,,0,
018051C,,XS,100,,0,
018100C,,L,100,,0,
018100C,,M,100,,0,
018100C,,SM,100,,0,
018100C,,XL,100,,0,
018100C,,XS,100,,0,
018101C,,L,100,,0,
018101C,,M,100,,0,
018101C,,SM,100,,0,
018101C,,XL,100,,0,
018101C,,XS,100,,0,
018113C,,L,100,,0,
018113C,,M,100,,0,
018113C,,SM,100,,0,
018113C,,XL,100,,0,
018113C,,XS,100,,0,
01838673,,L,100,,0,
01838673,,M,100,,0,
01838673,,SM,100,,0,
01838673,,XL,100,,0,
01838673,,XS,100,,0,
018447C,,L,100,,0,
018447C,,M,100,,0,
018447C,,SM,100,,0,
018447C,,XL,100,,0,
018447C,,XS,100,,0,
01851673,,L,100,,0,
01851673,,M,100,,0,
01851673,,SM,100,,0,
01851673,,XL,100,,0,
01851673,,XS,100,,0,
01852113,,L,100,,0,
01852113,,M,100,,0,
01852113,,SM,100,,0,
01852113,,XL,100,,0,
01852113,,XS,100,,0,
01853029,,L,100,,0,
01853029,,M,100,,0,
01853029,,SM,100,,0,
01853029,,XL,100,,0,
01853029,,XS,100,,0,
01854406,,L,100,,0,
01854406,,M,100,,0,
01854406,,SM,100,,0,
01854406,,XL,100,,0,
01854406,,XS,100,,0,
01855029,,L,100,,0,
01855029,,M,100,,0,
01855029,,SM,100,,0,
01855029,,XL,100,,0,
01855029,,XS,100,,0,
018720C,,L,100,,0,
018720C,,M,100,,0,
018720C,,SM,100,,0,
018720C,,XL,100,,0,
018720C,,XS,100,,0,
018800C,,L,100,,0,
018800C,,M,100,,0,
018800C,,SM,100,,0,
018800C,,XL,100,,0,
018800C,,XS,100,,0,
01881002,,L,100,,0,
01881002,,M,100,,0,
01881002,,XL,100,,0,
01881002,,XS,100,,0,
01881508,,L,100,,0,
01881508,,M,100,,0,
01881508,,SM,100,,0,
01881508,,XL,100,,0,
01881508,,XS,100,,0,
01891002,,L,100,,0,
01891002,,M,100,,0,
01891002,,SM,100,,0,
01891002,,XL,100,,0,
01891002,,XS,100,,0,
01891055,,L,100,,0,
01891055,,M,100,,0,
01891055,,SM,100,,0,
01891055,,XL,100,,0,
01891055,,XS,100,,0,
01891643,,L,100,,0,
01891643,,M,100,,0,
01891643,,SM,100,,0,
01891643,,XL,100,,0,
01891643,,XS,100,,0,
01891986,,L,100,,0,
01891986,,M,100,,0,
01891986,,SM,100,,0,
01891986,,XL,100,,0,
01891986,,XS,100,,0,
019002C,,L,100,,0,
019002C,,M,100,,0,
019002C,,SM,100,,0,
019002C,,XL,100,,0,
019002C,,XS,100,,0,
019051C,,L,100,,0,
019051C,,M,100,,0,
019051C,,SM,100,,0,
019051C,,XL,100,,0,
019051C,,XS,100,,0,
019100C,,L,100,,0,
019100C,,M,100,,0,
019100C,,SM,100,,0,
019100C,,XL,100,,0,
019100C,,XS,100,,0,
019113C,,L,100,,0,
019113C,,M,100,,0,
019113C,,SM,100,,0,
019113C,,XL,100,,0,
019113C,,XS,100,,0,
019517C,,L,100,,0,
019517C,,M,100,,0,
019517C,,SM,100,,0,
019517C,,XL,100,,0,
019517C,,XS,100,,0,
019615C,,L,100,,0,
019615C,,M,100,,0,
019615C,,SM,100,,0,
019615C,,XL,100,,0,
019615C,,XS,100,,0,
01986030,,L,100,,0,
01986030,,M,100,,0,
01986030,,SM,100,,0,
01986030,,XL,100,,0,
01986030,,XS,100,,0,
01986414,,L,100,,0,
01986414,,M,100,,0,
01986414,,SM,100,,0,
01986414,,XL,100,,0,
01986414,,XS,100,,0,
01988015,M,240,100,,0,
01988015,M,250,100,,0,
01988015,M,260,100,,0,
01988015,M,270,100,,0,
01988015,M,280,100,,0,
01988015,M,290,100,,0,
01988015,M,300,100,,0,
01988015,M,310,100,,0,
02003C,M,280,100,,0,
02003C,M,300,100,,0,
02003C,M,320,100,,0,
02003C,M,330,100,,0,
02003C,M,340,100,,0,
02003C,M,360,100,,0,
02003C,M,380,100,,0,
02004452,M,240,100,,0,
02004452,M,250,100,,0,
02004452,M,260,100,,0,
02004452,M,270,100,,0,
02004452,M,280,100,,0,
02004452,M,290,100,,0,
02004452,M,300,100,,0,
02004452,M,310,100,,0,
02005002,,L,100,,0,
02005002,,M,100,,0,
02005002,,SM,100,,0,
02005002,,XL,100,,0,
02005002,,XS,100,,0,
02006502,,L,100,,0,
02006502,,M,100,,0,
02006502,,SM,100,,0,
02006502,,XL,100,,0,
02006502,,XS,100,,0,
02007100,,L,100,,0,
02007100,,M,100,,0,
02007100,,SM,100,,0,
02007100,,XL,100,,0,
02007100,,XS,100,,0,
02012100,,L,100,,0,
02012100,,M,100,,0,
02012100,,SM,100,,0,
02012100,,XL,100,,0,
02012100,,XS,100,,0,
02035030,,L,100,,0,
02035030,,M,100,,0,
02035030,,SM,100,,0,
02035030,,XL,100,,0,
02035030,,XS,100,,0,
02035352,,L,100,,0,
02035352,,M,100,,0,
02035352,,SM,100,,0,
02035352,,XL,100,,0,
02035352,,XS,100,,0,
02035414,,L,100,,0,
02035414,,M,100,,0,
02035414,,SM,100,,0,
02035414,,XL,100,,0,
02035414,,XS,100,,0,
02035655,,L,100,,0,
02035655,,M,100,,0,
02035655,,SM,100,,0,
02035655,,XL,100,,0,
02035655,,XS,100,,0,
02036002,,L,100,,0,
02036002,,M,100,,0,
02036002,,SM,100,,0,
02036002,,XL,100,,0,
02036002,,XS,100,,0,
02036105,,L,100,,0,
02036105,,M,100,,0,
02036105,,SM,100,,0,
02036105,,XL,100,,0,
02036105,,XS,100,,0,
02045307,,L,100,,0,
02045307,,M,100,,0,
02045307,,SM,100,,0,
02045307,,XL,100,,0,
02045307,,XS,100,,0,
02045643,,L,100,,0,
02045643,,M,100,,0,
02045643,,SM,100,,0,
02045643,,XL,100,,0,
02045643,,XS,100,,0,
022360C,,L,100,,0,
022360C,,M,100,,0,
022360C,,SM,100,,0,
022360C,,XL,100,,0,
022360C,,XS,100,,0,
02244C,,L,100,,0,
02244C,,M,100,,0,
02244C,,SM,100,,0,
02244C,,XL,100,,0,
02244C,,XS,100,,0,
022456C,,L,100,,0,
022456C,,M,100,,0,
022456C,,SM,100,,0,
022456C,,XL,100,,0,
02249C,,L,100,,0,
02249C,,M,100,,0,
02249C,,SM,100,,0,
02249C,,XL,100,,0,
02249C,,XS,100,,0,
022507C,,L,100,,0,
022507C,,M,100,,0,
022507C,,SM,100,,0,
022507C,,XL,100,,0,
022507C,,XS,100,,0,
02253C,,L,100,,0,
02253C,,M,100,,0,
02253C,,SM,100,,0,
02317C,M,300,100,,0,
02317C,M,320,100,,0,
02317C,M,330,100,,0,
02317C,M,340,100,,0,
02317C,M,360,100,,0,
02317C,M,380,100,,0,
02321C,,L,100,,0,
02321C,,M,100,,0,
02321C,,SM,100,,0,
02321C,,XL,100,,0,
02321C,,XS,100,,0,
02323C,,L,100,,0,
02323C,,M,100,,0,
02323C,,SM,100,,0,
02323C,,XL,100,,0,
02323C,,XS,100,,0,
02324C,,L,100,,0,
02324C,,M,100,,0,
02324C,,SM,100,,0,
02324C,,XL,100,,0,
02324C,,XS,100,,0,
02327C,M,270,100,,0,
02327C,M,280,100,,0,
02327C,M,290,100,,0,
02327C,M,300,100,,0,
023436C,,L,100,,0,
023436C,,M,100,,0,
023436C,,SM,100,,0,
023436C,,XL,100,,0,
023436C,,XS,100,,0,
023553C,M,260,100,,0,
023553C,M,270,100,,0,
023553C,M,280,100,,0,
023553C,M,290,100,,0,
023553C,M,300,100,,0,
023553C,M,310,100,,0,
02357C,,L,100,,0,
02357C,,M,100,,0,
02357C,,SM,100,,0,
02357C,,XL,100,,0,
02357C,,XS,100,,0,
023612C,M,260,100,,0,
023612C,M,270,100,,0,
023612C,M,280,100,,0,
023612C,M,290,100,,0,
023612C,M,300,100,,0,
023612C,M,310,100,,0,
02362C,,L,100,,0,
02362C,,M,100,,0,
02362C,,SM,100,,0,
02362C,,XL,100,,0,
02362C,,XS,100,,0,
023630C,,L,100,,0,
023630C,,M,100,,0,
023630C,,SM,100,,0,
023630C,,XL,100,,0,
023630C,,XS,100,,0,
02397C,,XS,100,,0,
02398C,,L,100,,0,
02398C,,M,100,,0,
02398C,,SM,100,,0,
02398C,,XL,100,,0,
02398C,,XS,100,,0,
02531C,,L,100,,0,
02531C,,M,100,,0,
02531C,,SM,100,,0,
02531C,,XS,100,,0,
029001C,,L,100,,0,
029001C,,M,100,,0,
029001C,,SM,100,,0,
029001C,,XL,100,,0,
029001C,,XS,100,,0,
029051C,,L,100,,0,
029051C,,M,100,,0,
029051C,,SM,100,,0,
029051C,,XL,100,,0,
029051C,,XS,100,,0,
030171C,,L,100,,0,
030171C,,M,100,,0,
030171C,,SM,100,,0,
030171C,,XL,100,,0,
030171C,,XS,100,,0,
03093C,,L,100,,0,
03093C,,M,100,,0,
03093C,,SM,100,,0,
03093C,,XL,100,,0,
03093C,,XS,100,,0,
03097C,,L,100,,0,
03097C,,M,100,,0,
03097C,,SM,100,,0,
03097C,,XL,100,,0,
03097C,,XS,100,,0,
03102002,,L,100,2013-04-26,11,21381
03102002,,M,100,,0,
03102002,,SM,100,,0,
03102002,,XL,100,2013-04-26,5,21381
03102002,,XS,100,,0,
03104C,,L,100,2013-04-20,3,20803
03104C,,M,100,2013-04-20,4,20803
03104C,,SM,100,2013-04-20,2,20803
03104C,,XL,100,2013-04-20,2,20803
03104C,,XS,100,2013-04-20,1,20803
03173C,,L,100,,0,
03173C,,M,100,,0,
03173C,,SM,100,,0,
03173C,,XL,100,,0,
03173C,,XS,100,,0,
03188C,,L,100,,0,
03188C,,M,100,,0,
03188C,,SM,100,,0,
03188C,,XL,100,,0,
03188C,,XS,100,,0,
03189C,M,240,100,,0,
03189C,M,260,100,,0,
03189C,M,270,100,,0,
03189C,M,280,100,,0,
03189C,M,290,100,,0,
03189C,M,300,100,,0,
03189C,M,310,100,,0,
03190C,M,240,100,,0,
03190C,M,260,100,,0,
03190C,M,270,100,,0,
03190C,M,280,100,,0,
03190C,M,290,100,,0,
03190C,M,300,100,,0,
03190C,M,310,100,,0,
03194C,,240,100,,0,
03194C,,260,100,,0,
03194C,,270,100,,0,
03194C,,280,100,,0,
03194C,,290,100,,0,
03194C,,300,100,,0,
03194C,,310,100,,0,
03196C,,240,100,,0,
03196C,,260,100,,0,
03196C,,270,100,,0,
03196C,,280,100,,0,
03196C,,290,100,,0,
03196C,,300,100,,0,
03196C,,310,100,,0,
03201C,,L,100,,0,
03201C,,M,100,,0,
03201C,,SM,100,,0,
03201C,,XL,100,,0,
03201C,,XS,100,,0,
03212C,,L,100,,0,
03212C,,M,100,,0,
03212C,,SM,100,,0,
03212C,,XL,100,,0,
03212C,,XS,100,,0,
03310058,,L,100,2013-04-26,12,21379
03310058,,M,100,2013-04-26,13,21379
03310058,,SM,100,,0,
03310058,,XL,100,2013-04-26,6,21379
03310058,,XS,100,,0,
03310113,,L,100,2013-04-27,11,21380
03310113,,M,100,2013-04-27,13,21380
03310113,,SM,100,,0,
03310113,,XL,100,2013-04-27,6,21380
03310113,,XS,100,,0,
03310611,,L,100,,0,
03310611,,M,100,,0,
03310611,,SM,100,,0,
03310611,,XL,100,,0,
03310611,,XS,100,,0,
03320C,,L,100,,0,
03320C,,M,100,,0,
03320C,,SM,100,,0,
03320C,,XL,100,,0,
03320C,,XS,100,,0,
03349944,M,240,100,,0,
03349944,M,250,100,,0,
03349944,M,260,100,,0,
03349944,M,270,100,,0,
03349944,M,280,100,,0,
03349944,M,290,100,,0,
03349944,M,300,100,,0,
03349944,M,310,100,,0,
03371C,,L,100,,0,
03371C,,M,100,,0,
03371C,,SM,100,,0,
03371C,,XL,100,,0,
03371C,,XS,100,,0,
03384C,,L,100,,0,
03384C,,M,100,,0,
03384C,,SM,100,,0,
03384C,,XL,100,,0,
03384C,,XS,100,,0,
03405C,,L,100,,0,
03405C,,M,100,,0,
03405C,,SM,100,,0,
03405C,,XL,100,,0,
03405C,,XS,100,,0,
034100C,,L,100,,0,
034100C,,M,100,,0,
034100C,,SM,100,,0,
034100C,,XL,100,,0,
034100C,,XS,100,,0,
03414C,,L,100,,0,
03414C,,M,100,,0,
03414C,,SM,100,,0,
03414C,,XL,100,,0,
03414C,,XS,100,,0,
03418C,,L,100,,0,
03418C,,M,100,,0,
03418C,,SM,100,,0,
03418C,,XL,100,,0,
03418C,,XS,100,,0,
03423C,,L,100,,0,
03423C,,M,100,,0,
03423C,,SM,100,,0,
03423C,,XL,100,,0,
03423C,,XS,100,,0,
03541C,,L,100,2013-04-26,8,21343
03541C,,M,100,2013-04-26,8,21343
03541C,,SM,100,2013-04-26,5,21343
03541C,,XL,100,2013-04-26,3,21343
03541C,,XS,100,2013-04-26,2,21343
0354677C,,L,100,,0,
0354677C,,M,100,,0,
0354677C,,SM,100,,0,
0354677C,,XL,100,,0,
0354677C,,XS,100,,0,
0354996C,,L,100,,0,
0354996C,,M,100,,0,
0354996C,,SM,100,,0,
0354996C,,XL,100,,0,
0354996C,,XS,100,,0,
0355274C,,L,100,,0,
